Date of sale (dd-m-yyyy),Address,Location,Area (m^2),No. of rooms,Area of the plot (m^2),Closing price (kr)
12-Oct-2017,Röd 140,"Kareby,Kungälvskommun",122+11,4,2052,3400000
12-Oct-2017,Smaragdvägen 48,"Kode,Kungälvskommun",133,5,368,3700000
10-Oct-2017,Ulvesund 405,"Ytterby-Ulvesund,Kungälvskommun",72,3,681,2670000
9-Oct-2017,Åsebyberg 853,"Åseby,Kungälvskommun",137,5,1462,4150000
6-Oct-2017,Toftebergsvägen 2,"Tjuvkil,Kungälvskommun",84,"3,5",1085,3700000
5-Oct-2017,Kärnavägen 4,"Kärna,Kungälvskommun",110+90,7,860,4100000
5-Oct-2017,Enekullsvägen 28,"Enekullen,Kungälvskommun",125+18,4,789,4100000
3-Oct-2017,Skårshöjd 8,"Kärna,Kungälvskommun",120+40,5,900,2700000
2-Oct-2017,Lundby 280,"Kareby1,Kungälvskommun",85,4,2056,3250000
29-Sep-2017,Rosenstensvägen 3,"Kode,Kungälvskommun",143,6,458,4000000
25-Sep-2017,Bräcke 330,"Kärna,Kungälvskommun",86,4,1188,2800000
22-Sep-2017,Ulvesund 419,"Kungälv-Ulvesund,Kungälvskommun",65,2,688,2710000
21-Sep-2017,Bergåsvägen 23,"Ytterby,Kungälvskommun",131+37,5,1267,4575000
20-Sep-2017,Vävra 710,"Hålta,Kungälvskommun",100+100,5,4794,3650000
20-Sep-2017,Trätäljagatan 2,"Iskällan,Kungälvskommun",147+147,9,937,5875000
14-Sep-2017,Håkons gata 6,"Iskällan,Kungälvskommun",117,4,960,4950000
10-Sep-2017,Torp 340,"Kareby,Kungälvskommun",127+100,6,21023,4325000
8-Sep-2017,Västra Åkerhögsvägen 17,"Kärna,Kungälvskommun",155+20,6,1824,4575000
7-Sep-2017,Rävo 170,"Hålta,Kungälvskommun",165+60,5,4627,7150000
7-Sep-2017,Törnrosgatan 5,"YtterbyTornhaga,Kungälvskommun",195,6,1075,4555000
5-Sep-2017,Snäckliden 13,"Sundhammar,Kungälvskommun",48+33,4,1590,2800000
1-Sep-2017,Bergåsvägen 16e,"Kungälv-Ytterby,Kungälvskommun",100,4,602,4820000
31-Aug-2017,Sjöhåla 170,"KÄRNA,Kungälvskommun",124+72,5,2035,3550000
30-Aug-2017,Duvesjön 308,"Romelanda,Kungälvskommun",121,4,916,3295000
29-Aug-2017,Hermelingatan 11,"Olseröd,Kungälvskommun",126,5,548,5300000
28-Aug-2017,Flädervägen 14,"Bohuslän,Kungälvskommun",105,5,476,3450000
24-Aug-2017,Solberga 900,"Kode,Kungälvskommun",123,4,1107,2500000
23-Mar-2023,Kulperödsvägen 17,"Bohuslän,Kungälvskommun",133+119,6,2141,4800000
9-Mar-2023,Sköldgatan 8,"Stället,Kungälvskommun",96+29,3,451,4225000
9-Mar-2023,Munkegärdegatan 279,"Kungälv-Munkegärde,Kungälvskommun",118,4,342,4700000
8-Mar-2023,Önneröd 120,"Kärna,Kungälvskommun",133+29,5,3061,3750000
3-Mar-2023,Kyrkeby 293,"Harestad,Kungälvskommun",170,6,1189,5500000
2-Mar-2023,Harkeröd 305,"Hålta,Kungälvskommun",110,4,818,4395000
2-Mar-2023,Lagvägen 23,"Ytterby,Kungälvskommun",107+7,4,757,2700000
27-Feb-2023,Tegskiftegatan 84,"Ytterby,Kungälvskommun",101+146,5,1186,5310000
21-Feb-2023,Signehög 320,"Romelanda,Kungälvskommun",105+57,5,1550,4350000
8-Feb-2023,Guddehjälm 215,"Ytterby,Kungälvskommun","182,5",8,3639,5330000
7-Feb-2023,Kärnavägen 4,"Kärna,Kungälvskommun",110+90,7,860,4250000
4-Feb-2023,Källeröd 166,"Kareby,Kungälvskommun",127,6,988,4350000
2-Feb-2023,Korpedalsvägen 3,"Aröd,Kungälvskommun",140+64,5,993,4000000
30-Jan-2023,Hällristningsgatan 10,"Kungälv-Ytterby,Kungälvskommun",103,4,282,4000000
27-Jan-2023,Kantorvägen 4,"Diseröd,Kungälvskommun",134,5,558,3700000
26-Jan-2023,Gunneröd 320,"Lycke,Kungälvskommun",145,5,1144,3900000
19-Jan-2023,Prästvägen 340,"Kungälv-Kareby,Kungälvskommun",158+92,7,4235,6100000
18-Jan-2023,Granndalen 13,"Kärna,Kungälvskommun",110+27,4,1093,3850000
17-Jan-2023,Stenåldersgatan 57,"Ytterby,Kungälvskommun",107,5,354,4380000
12-Jan-2023,Duvesjön 216,"Romelanda,Kungälvskommun",153,6,2091,4750000
4-Jan-2023,Rostock 290,"Romelanda,Kungälvskommun",148+65,NaN,1678,3400000
27-Dec-2022,Långdammsvägen 2,"Marstrandsön,Kungälvskommun",28,NaN,617,7125000
21-Dec-2022,Munkegärdegatan 312,"Munkegärde,Kungälvskommun",170,6,612,5605000
15-Dec-2022,Bremnäs 130,"Lycke,Kungälvskommun",167+40,8,938,4490000
13-Dec-2022,Bremnäs 155,"LyckeBremnäs,Kungälvskommun",137+53,6,1298,4125000
2-Dec-2022,Skurhagagatan 3,"Komarken,Kungälvskommun",127+125,6,603,4700000
2-Dec-2022,Över-Restad 165,"Hålta,Kungälvskommun",126,6,1693,5050000
2-Dec-2022,Sundhammarsvägen 610,"Kärna,Kungälvskommun",188,6,2010,5500000
2-Dec-2022,Klevevägen 50,"Ytterby,Kungälvskommun",110,4,NaN,3600000
1-Dec-2022,Klockarvägen 11,"Diseröd,Kungälvskommun",170,6,574,4300000
29-Nov-2022,Hammarberg 830,"Kode,Kungälvskommun",73+15,3,1632,2900000
24-Nov-2022,Jordliden 30,"Kungälv,Kungälvskommun",86,3,NaN,2750000
24-Nov-2022,Grindklykan 9,"Grinden,Kungälvskommun",114,4,729,4800000
18-Nov-2022,Hältorp 130,"Ytterby,Kungälvskommun",115+115,7,1372,4050000
17-Nov-2022,Häljeröd 430,"Romelanda,Kungälvskommun",132,6,3009,4515000
13-Nov-2022,Sjöhåla 130,"Sjöhåla,Kungälvskommun",121+75,4,1576,2400000
12-Nov-2022,Flädervägen 18,"Romelanda,Kungälvskommun",137+20,6,353,3850000
11-Nov-2022,Lundby 440,"Kareby,Kungälvskommun",125+120,5,1676,4500000
10-Nov-2022,Fiolmannens gata 17,"Ytterby,Kungälvskommun",115,5,NaN,3995000
6-Nov-2022,Lefstad 350,"Kärna,Kungälvskommun",129+90,6,2216,4050000
3-Nov-2022,Enskiftegatan 10,"Kungälv-Ytterby,Kungälvskommun",179,6,768,5500000
31-Oct-2022,Mossvägen 38,"Lökeberg,Kungälvskommun",86,3,1111,4400000
26-Oct-2022,Lingången 16,"Kungälv-Centrum,Kungälvskommun",120,4,402,4550000
21-Oct-2022,Jägersberg 310,"Kode,Kungälvskommun",184+28,6,26210,4000000
19-Oct-2022,Mossvägen 37,"Lökeberg,Kungälvskommun",86,3,1844,4400000
16-Oct-2022,Prejelvägen 120,"Ullstorp,Kungälvskommun",122,5,314,5495000
12-Oct-2022,Vältvägen 509,"Ullstorp,Kungälvskommun",105,4,319,5050000
12-Oct-2022,Björröd 310,"Kode,Kungälvskommun",172,6,1514,4350000
3-Oct-2022,Kullholmsvägen 6,"Tjuvkil,Kungälvskommun",117,5,429,5900000
30-Sep-2022,Kantorvägen 8,"Diseröd,Kungälvskommun",125,4,557,3700000
8-Jun-2021,Flateby 360,"Kungälv-Harestad,Kungälvskommun",125+95,7,1726,3100000
7-Jun-2021,Västra Röd 350,"Harestad,Kungälvskommun",83,3,1637,3550000
4-Jun-2021,Lievägen 237,"Ullstorp,Kungälvskommun",140+19,5,507,6200000
4-Jun-2021,Häradsvägen 20,"Ytterby,Kungälvskommun",130,5,342,4850000
3-Jun-2021,Enekullsvägen 54B,"Ytterby,Kungälvskommun",176,6,930,5600000
3-Jun-2021,Truskärsvägen 16,"Tjuvkil,Kungälvskommun",165,6,1143,7400000
3-Jun-2021,Signehög 332,"Romelanda,Kungälvskommun",126,6,1459,4500000
3-Jun-2021,Skårby station 550,"Kungälv-Kareby,Kungälvskommun",96+90,6,1087,3450000
2-Jun-2021,Kvarnvägen 28,"Ingetorp,Kungälvskommun",140,3,1272,5400000
2-Jun-2021,Livelycke 140,"Kungälv,Kungälvskommun",109,5,2888,4000000
2-Jun-2021,Skårshöjd 8,"Kärna,Kungälvskommun",140+40,5,921,4425000
2-Jun-2021,Ametistvägen 5,"Kode,Kungälvskommun",98+95,5,780,4900000
2-Jun-2021,Prejelvägen 139,"Ullstorp,Kungälvskommun",122,5,604,5800000
28-May-2021,Hermansby 190,"Kärna,Kungälvskommun",115,6,2488,4850000
28-May-2021,Signehög 150,"Romelanda,Kungälvskommun",130+130,6,2151,2200000
25-May-2021,Marias väg 35,"Aröd,Kungälvskommun",45,3,1225,1130000
25-May-2021,Hamngatan 13,"Centraltvidälven,Kungälvskommun",64+60,4,645,4900000
25-May-2021,Guddeby 274,"Ytterby,Kungälvskommun",159+55,7,1527,6500000
21-May-2021,Skårby mosse 872,"Kareby,Kungälvskommun",160,6,2663,7200000
21-May-2021,Hermansby 224,"Kärna,Kungälvskommun",178,6,1494,7200000
19-May-2021,Parkgatan 18,"Marstrand-Koön,Kungälvskommun",160+30,6,562,9400000
19-May-2021,Lyckevägen 5B,"Kärna,Kungälvskommun",95+61,3,673,4400000
19-May-2021,Saltskärsvägen 10,"Kungälv-Lycke,Kungälvskommun",64,3,3440,3125000
18-May-2021,Stora Risby 480,"Hålta,Kungälvskommun",108+26,5,941,4950000
18-May-2021,Harkvägen 323,"Kungälv-Ullstorp,Kungälvskommun",126,4,NaN,4705000
18-May-2021,Grepvägen 385,"Ullstorp,Kungälvskommun",121+29,5,388,5640000
17-May-2021,Fridhemsgatan 9,"Centralt,Kungälvskommun",137+90,6,850,6525000
17-May-2021,Lökebergsvägen 43,"Lökeberg,Kungälvskommun",120+54,4,3364,4825000
16-May-2021,Häljeröd 210,"Romelanda,Kungälvskommun",160+35,4,1690,3550000
14-May-2021,Vegestorp 210,"Kareby,Kungälvskommun",98+98,5,1610,4125000
12-May-2021,Olvonvägen 27,"Diseröd,Kungälvskommun",123+97,6,682,5150000
11-May-2021,Storskiftegatan 55,"Ytterby,Kungälvskommun",131+46,5,835,6550000
11-May-2021,Skårby station 540,"Kareby,Kungälvskommun",57,NaN,1090,1200000
11-May-2021,Almvägen 21,"Diseröd,Kungälvskommun",158,8,1130,5300000
10-May-2021,Glose 630,"Kärna,Kungälvskommun",96+17,3,1187,4150000
10-May-2021,Lerlycke 240,"Kärna,Kungälvskommun",135+44,3,9078,6000000
8-May-2021,Bergkristallvägen 5,"Kode,Kungälvskommun",126+9,5,477,5000000
7-May-2021,Veneröd 640,"Hålta,Kungälvskommun",70,NaN,4606,820000
7-May-2021,Lundby 502,"Kareby,Kungälvskommun",137,4,2174,5700000
7-May-2021,Hällristningsgatan 18,"Ytterby-Stället,Kungälvskommun",103+9,4,281,4650000
5-May-2021,Hareslättsvägen 8,"Marstrand,Kungälvskommun",188+30,6,676,8800000
5-May-2021,Sundviksvägen 39,"Tjuvkil,Kungälvskommun",117,5,447,6300000
5-May-2021,Prejelvägen 109,"Ullstorp,Kungälvskommun",122+12,5,432,5640000
29-Apr-2021,Holm 220,"Bohuslän,Kungälvskommun",175+93,7,479907,10000000
29-Apr-2021,Mycklaborgsgatan 3,"Centrum,Kungälvskommun",149+20,5,684,5100000
29-Apr-2021,Östra gatan 34,"Bohuslän,Kungälvskommun",208+49,8,2419,6000000
28-Apr-2021,Bastubäcksvägen 33,"Ödsmålsmosse,Kungälvskommun",85,4,1205,4175000
26-Apr-2021,Ulvebackegatan 20,"Ulvegärde,Kungälvskommun",196+30,6,766,6500000
25-Apr-2021,Gårdskiftegatan 67,"Ytterby,Kungälvskommun",103+34,4,780,5000000
21-Apr-2021,Enekullsvägen 52B,"Ytterby,Kungälvskommun",185,6,795,6400000
25-Oct-2019,Hasselvägen 5,"Romelanda,Kungälvskommun",115+166,NaN,972,4060000
25-Oct-2019,Häradsvägen 82,"Ytterby,Kungälvskommun",130,7,361,4350000
25-Oct-2019,Fridhemsgatan 23,"Centralt,Kungälvskommun",134+40,6,738,5250000
24-Oct-2019,Slånbärsvägen 6,"Kungälv-Centralt,Kungälvskommun",156,7,1010,5750000
23-Oct-2019,Hasselvägen 1,"Diseröd,Kungälvskommun",106+106,6,1032,3825000
23-Oct-2019,Solhultsgatan 18,"Centralt,Kungälvskommun",152+72,6,555,4795000
21-Oct-2019,Glöskär 950,"Kungälv-Kärna,Kungälvskommun",190+50,7,17790,6000000
19-Oct-2019,Östergårdsgatan 25,"Ytterby,Kungälvskommun",177,7,831,4695000
18-Oct-2019,Romelandavägen 112,"Centralt,Kungälvskommun",75+30,4,371,2695000
17-Oct-2019,Myrebackavägen 102,"Bohuslän,Kungälvskommun",129,5,2531,4535000
16-Oct-2019,Duvesjön 180,"Romelanda,Kungälvskommun",47,2,1650,2115000
11-Oct-2019,Kungälvsvägen 22,"Centralt,Kungälvskommun",77+46,5,1548,3760000
11-Oct-2019,Håltet 140,"Kareby,Kungälvskommun",132,5,2219,4010000
4-Oct-2019,Länsmansvägen 30,"Ytterby,Kungälvskommun",133+55,5,972,4650000
2-Oct-2019,Gamla Trollhättevägen 11,"Centralt,Kungälvskommun",60+36,3,654,3700000
1-Oct-2019,Veneröd 430,"Hålta,Kungälvskommun",92,4,1376,3395000
28-Sep-2019,Bäckgatan 16,"Kungälv-Centrum,Kungälvskommun",135+65,4,732,5700000
27-Sep-2019,Topasvägen 11,"Bohuslän,Kungälvskommun",103+95,6,742,3750000
26-Sep-2019,Mantalsgatan 17,"Ytterby,Kungälvskommun",189+23,6,986,4800000
26-Sep-2019,Grindvakten 25,"Grinden,Kungälvskommun",127,3,473,3850000
25-Sep-2019,Solbräcke 1:47,"Kungälv,Kungälvskommun",NaN,NaN,708,1000000
25-Sep-2019,Solbräcke 1:46,"Kungälv,Kungälvskommun",NaN,NaN,784,1000000
25-Sep-2019,Solbräcke 1:45,"Kungälv,Kungälvskommun",NaN,NaN,976,1000000
25-Sep-2019,Solbräcke 1:44,"Bohuslän,Kungälvskommun",NaN,NaN,882,1000000
25-Sep-2019,Lundby 340,"Kungälv-Kareby,Kungälvskommun",147,6,1648,4100000
23-Sep-2019,Teggatan 8,"Fridhemskullen,Kungälvskommun",177+21,5,759,5900000
19-Sep-2019,Skårsäng 39,"Kärna,Kungälvskommun",114,5,473,4400000
18-Sep-2019,Mellan-Restad 380,"Bohuslän,Kungälvskommun",140+15,6,3583,5025000
16-Sep-2019,Dösebacka 620,"Romelanda,Kungälvskommun",91+76,5,1498,3295000
15-Sep-2019,Solhultsgatan 21,"Komarken,Kungälvskommun",173+127,7,560,4900000
13-Sep-2019,Mycklaborgsgatan 10,"Komarken,Kungälvskommun",190+76,9,1110,5756725
12-Sep-2019,Gamla Trollhättevägen 16,"Kungälv,Kungälvskommun",80+30,4,524,3300000
11-Sep-2019,Jägersberg 242,"Kode,Kungälvskommun",121,5,1864,4200000
6-Sep-2019,Åkerhög 180,"Vedhall,Kungälvskommun",142,5,1057,3650000
5-Sep-2019,Duvesjön 213,"Kungälv-Duvesjön,Kungälvskommun",120,4,909,4000000
5-Sep-2019,Lundby 250,"Kungälv-Kareby,Kungälvskommun",151,6,1873,4575000
3-Sep-2019,Briljantvägen 22,"Bohuslän,Kungälvskommun",150,6,575,4210000
3-Sep-2019,Täljstensgatan 5,"Ytterby,Kungälvskommun",104+19,4,356,4510000
1-Sep-2019,Hövdingagatan 7,"Komarken,Kungälvskommun",132+48,7,655,4275000
31-Aug-2019,Lundby 460,"Kareby,Kungälvskommun",140+38,5,1825,3790000
31-Aug-2019,Marias väg 32,"Aröd,Kungälvskommun",85,4,1058,3325000
29-Aug-2019,Skäggstorp 120,"Kode,Kungälvskommun",51+43,4,1756,2240000
28-Aug-2019,Bergkristallvägen 23,"Kode,Kungälvskommun",130,5,504,4500000
28-Aug-2019,Stora Risby 530,"Hålta,Kungälvskommun",62+53,4,925,3000000
25-Aug-2019,Nordängen 10,"Sundhammar,Kungälvskommun",174+18,5,1331,5000000
24-Aug-2019,Lefstadvägen 31,"Kärna,Kungälvskommun",130,5,881,4150000
24-Aug-2019,Diamantvägen 54,"Kode,Kungälvskommun",155,6,560,3820000
23-Aug-2019,Råckeröd 170,"Kärna,Kungälvskommun",210+85,7,2388,4550000
23-Aug-2019,Gustavsbergsvägen 17,"Tega,Kungälvskommun",111,4,1360,4330000
22-Aug-2019,Hammarhöjden 650,"Kode,Kungälvskommun",68,4,1157,2650000
18-Oct-2018,Häljeröd 120,"RomelandaDiseröd,Kungälvskommun",193,5,15148,6100000
17-Oct-2018,Ellesbovägen 204,"Kungälv,Kungälvskommun",75+48,5,1062,3000000
15-Oct-2018,Olserödsgatan 106,"Olseröd,Kungälvskommun",170+20,5,1227,6000000
12-Oct-2018,Äslingsvägen 7,"Tjuvkil,Kungälvskommun",120,5,1285,4100000
11-Oct-2018,Åsebyberg 855,"Kode,Kungälvskommun",129+18,5,4105,3850000
5-Oct-2018,Solvagnsgatan 30,"Stället,Kungälvskommun",138,5,479,5275000
4-Oct-2018,Guntorpsvägen 24,"Kode,Kungälvskommun",110+100,5,1065,2975000
3-Oct-2018,Lerlycke 250,"Kärna,Kungälvskommun",130+88,5,1020,3700000
2-Oct-2018,Olvonvägen 23,"Diseröd,Kungälvskommun",222+98,7,1000,3600000
28-Sep-2018,Bockebergsvägen 2,"Lycke,Kungälvskommun",49+10,4,1386,1850000
27-Sep-2018,Lerskärsvägen 21,"Tjuvkil,Kungälvskommun",120+40,4,1299,4700000
27-Sep-2018,Valtersäng 35,"Centralt,Kungälvskommun",159+40,6,650,6120000
25-Sep-2018,Råckeröd 200,"Kärna,Kungälvskommun",120,5,1192,3150000
25-Sep-2018,Västra gatan 26A,"Centralt,Kungälvskommun",149+21,6,316,5500000
24-Sep-2018,Gamla Kungälvsvägen 13,"Ytterby,Kungälvskommun",176+87,8,1862,6800000
19-Sep-2018,Havregången 12,"Kungälvcentralt,Kungälvskommun",125,5,496,4000000
13-Sep-2018,Lerskärsvägen 50,"Lycke,Kungälvskommun",93+93,5,1221,3750000
11-Sep-2018,Rubinvägen 6,"Kode,Kungälvskommun",108+114,5,1123,3650000
11-Sep-2018,Bastubäcksvägen 11,"Ödsmålsmosse/Rörtången,Kungälvskommun",78+15,3,1225,3100000
10-Sep-2018,Glose 110,"Glose,Kungälvskommun",150+30,5,3157,4500000
9-Sep-2018,Bokvägen 3,"Kungälvcentralt,Fontin.,Kungälvskommun",184+128,8,781,5350000
8-Sep-2018,Livelycke 290,"Bohuslän,Kungälvskommun",163,6,2941,3820000
6-Sep-2018,Lilla Dalvägen 5,"Ödsmålsmosse,Kungälvskommun",36,2,1667,965000
5-Sep-2018,Grepvägen 403,"Ullstorp,Kungälvskommun",121,5,526,5250000
5-Sep-2018,Vävra 380,"Hålta,Kungälvskommun",49,2,1514,2260000
5-Sep-2018,Stenåldersgatan 11,"Ytterby,Kungälvskommun",103,4,440,3900000
4-Sep-2018,Storskiftegatan 11,"Ytterby,Kungälvskommun",90+40,4,188,3375000
3-Sep-2018,Vältvägen 505,"Bohuslän,Kungälvskommun",121+9,5,250,4800000
31-Aug-2018,Lilla Fjellsholmen 14,"LillaFjellsholmen,Kungälvskommun",86,4,418,6700000
30-Aug-2018,Hammarhöjden 695,"Kode,Kungälvskommun",83+28,3,1053,2750000
30-Aug-2018,Kärnavägen 16,"Kärna,Kungälvskommun",171+83,7,695,4120000
30-Aug-2018,Klintegatan 17,"Centralt-Kungälv,Kungälvskommun",125+51,7,704,7350000
30-Aug-2018,Stenåldersgatan 53,"Ytterby-Stället,Kungälvskommun",107,5,381,4050000
29-Aug-2018,Grepvägen 391,"Ullstorp,Kungälvskommun",121+7,5,431,4850000
29-Aug-2018,Duvesjön 310,"Duvesjön,Kungälvskommun",101,4,1454,2800000
29-Aug-2018,Torsby 132,"Kärna,Kungälvskommun",169,7,1731,4550000
25-Aug-2018,Kristinedalsgatan 7,"Centrum,Kungälvskommun",178+85,6,857,7125000
24-Aug-2018,Åsebyberg 745,"Åsebyberg,Kungälvskommun",110,4,1776,1130000
24-Aug-2018,Korpvägen 259,"KUNGÄLV,Kungälvskommun",139+18,6,437,5500000
17-Aug-2018,Ställets bygata 76,"YTTERBY,Kungälvskommun",147,6,1070,4925000
15-Aug-2018,Skeppsholmsgatan 2,"Centrum,Kungälvskommun",121,5,913,6300000
10-Aug-2018,Jägersberg 244,"Kode,Kungälvskommun",120,3,2003,3850000
9-Aug-2018,Hammarhöjden 670,"Kode,Kungälvskommun",100+47,2,1090,3230000
29-Jul-2018,Saltskärsvägen 10,"Tjuvkil,Kungälvskommun",64,2,3440,2300000
26-Jul-2018,Duvesjön 313,"Duvesjön,Kungälvskommun",87,3,1191,3300000
18-Jul-2018,Byvägen 18,"Ödsmålsmosse/Rörtången,Kungälvskommun",60+42,4,1509,1850000
17-Jul-2018,Guntorpsvägen 2,"Kode,Kungälvskommun",129+70,7,734,3150000
12-Jul-2018,Tjuvkil 510,"Tjuvkil,Kungälvskommun",90+98,4,2575,2550000
10-Jul-2018,Lundby 475,"Kareby,Kungälvskommun",141,5,2024,4680000
9-Jul-2018,Gunneröd 200,"Lycke,Kungälvskommun",58+25,2,789,2400000
29-Nov-2013,Rishammar 260,"Bohuslän,Kungälvskommun",154+86,7,2982,2525000
29-Nov-2013,Skurhagagatan 4,"Centralt,Kungälvskommun",190+75,7,798,2750000
27-Nov-2013,Domsvägen 4,"Ytterby,Kungälvskommun",98+77,5,858,2150000
25-Nov-2013,Åldermansvägen 9,"Ytterby,Kungälvskommun",174+74,5,1119,3600000
15-Nov-2013,Västerhöjdsvägen 24,"Kärna,Kungälvskommun",150,5,596,4160000
15-Nov-2013,Thorilds Gränd 9,"Centralt,Kungälvskommun",121+3,4,422,4610000
13-Nov-2013,Åldermansvägen 12,"Ytterby,Kungälvskommun",124+124,5,909,3745000
12-Nov-2013,Lundby 380,"Kareby,Kungälvskommun",140,4,1818,2900000
11-Nov-2013,Oskarsbergsgatan 34,"Tega,Kungälvskommun",119+48,4,773,3020000
4-Nov-2013,Fontinvägen 26,"Centralt,Kungälvskommun",166+63,6,1083,4675000
31-Oct-2013,Jägarvägen 6,"Bohuslän,Kungälvskommun",159+16,5,564,2200000
25-Oct-2013,Komministergatan 16,"Centralt,Kungälvskommun",175+100,7,723,5100000
22-Oct-2013,Fredkullagatan 24,"Centralt,Kungälvskommun",80+40,4,918,2440000
18-Oct-2013,Ulvesund 305,"Ytterby-Ulvesund,Kungälvskommun",154,7,775,2690000
18-Oct-2013,Vävra 535,"Vävra,Kungälvskommun",60,3,1069,1460000
11-Oct-2013,Åsleröd 110,"Ytterby,Kungälvskommun",57+57,3,975,1555000
11-Oct-2013,Rundsvallen 150,"Ytterby-Rundsvallen,Kungälvskommun",142+15,5,1440,2850000
11-Oct-2013,Krappvägen 574,"Ullstorp,Kungälvskommun",170+29,5,807,4845000
9-Oct-2013,Staby 774,"Kärna,Kungälvskommun",121,4,1127,2740000
8-Oct-2013,Glose 590,"Glose,Kungälvskommun",108+57,5,1799,1850000
8-Oct-2013,Svärdgatan 6,"Stället,Kungälvskommun",137+8,5,392,3560000
3-Oct-2013,Drakegatan 8,"Centralt,Kungälvskommun",121+39,4,853,3400000
18-Sep-2013,Hällevad 140,"Duvesjön,Kungälvskommun",144+58,6,2077,2955000
13-Sep-2013,Holm 230,"Kärna,Kungälvskommun",155+7,6,2861,3700000
9-Sep-2013,Braseröd 120,"Romelanda,Kungälvskommun",108+8,4,7164,1895000
30-Aug-2013,Lahälla 760,"Lahälla,Kungälvskommun",181+60,5,2559,4500000
30-Aug-2013,Olsegården 13,"Olseröd,Kungälvskommun",140+32,5,375,3280000
28-Aug-2013,Heden 180,"Ytterby-Ulvesund,Kungälvskommun",60+57,3,2279,2500000
28-Aug-2013,Brunnefjäll 132,"Kärna-Vedhall,Kungälvskommun",220,6,1076,4490000
27-Aug-2013,Kållstorp 140,"Kärna-Harestad,Kungälvskommun",110,5,3436,1360000
26-Aug-2013,Rönnvägen 14,"Romelanda-Diseröd,Kungälvskommun",109+109,6,1059,2710000
20-Aug-2013,Ängsgatan 13,"Centralt,Kungälvskommun",111+92,4,564,2550000
15-Aug-2013,Strandgatan 10B,"Centralt,Kungälvskommun","101+6,5",4,414,3230000
15-Aug-2013,Marielundsvägen 16,"Marstrand-Koön,Kungälvskommun",163,5,702,4500000
15-Aug-2013,Kuskalundsvägen 12,"Vävra,Kungälvskommun",87,4,1379,1835000
13-Aug-2013,Vävra 705,"Hålta,Kungälvskommun",118+11,4,1206,2450000
5-Aug-2013,Rönnvägen 1,"Romelanda-Diseröd,Kungälvskommun",98+71,5,941,2250000
22-Jul-2013,Slånvägen 5,"Kärna,Kungälvskommun",207+209,9,2017,3550000
18-Jul-2013,Dalen 240,"Kärna,Kungälvskommun",85,3,2611,1750000
9-Jul-2013,Duvesjön 210,"Duvesjön,Kungälvskommun",133,5,1768,2750000
3-Jul-2013,Duvesjön 234,"Bohuslän,Kungälvskommun",119,4,1147,3000000
25-Jun-2013,Åsebyberg 680,"Åsebyberg,Kungälvskommun",51,2,1206,1550000
18-Jun-2013,Ulvesund 408,"Ytterby-Ulvesund,Kungälvskommun",52,3,805,1600000
13-Jun-2013,Karantänsgatan 4,"Bohuslän,Kungälvskommun",145+70,7,619,4000000
12-Jun-2013,Skogsvägen 20,"Ingetorp,Kungälvskommun",101,4,1318,1785000
9-Jun-2013,Rörtången 123,"Rörtången,Kungälvskommun",101+70,3,1010,3600000
31-May-2013,Toreby 280,"Kärna-Harestad,Kungälvskommun",146,6,2013,2770000
30-May-2013,Kållstorp 140,"Kärna-Harestad,Kungälvskommun",110,5,3436,1700000
29-May-2013,Lievägen 224,"Ullstorp,Kungälvskommun",122,5,304,3470000
29-May-2013,Beryllvägen 14,"Kode,Kungälvskommun",145,5,434,3020000
20-Apr-2021,Gulskärsvägen 21,"Tjuvkil,Kungälvskommun",149+14,6,1512,7400000
20-Apr-2021,Mårdgatan 4,"Olseröd,Kungälvskommun",124+45,5,1122,7150000
19-Apr-2021,Lilla Fjellsholmen 22,"LillaFjellsholmen,Kungälvskommun",NaN,4,406,8900000
16-Apr-2021,Lindvägen 8,"Ytterby,Kungälvskommun",244+72,7,1330,7700000
16-Apr-2021,Stenåldersgatan 41,"Ytterby,Kungälvskommun",120,5,404,5350000
16-Apr-2021,Harkvägen 335,"Ullstorp,Kungälvskommun",131,4,NaN,4610000
15-Apr-2021,Prästvägen 296,"Kareby,Kungälvskommun",187,6,1434,8100000
15-Apr-2021,Duvesjön 228,"Diseröd,Kungälvskommun",121+37,5,1150,4925000
15-Apr-2021,Kuskalundsvägen 11,"Hålta,Kungälvskommun",110+49,3,1227,4025000
14-Apr-2021,Ulvesund 412,"Ulvesund,Kungälvskommun",106+9,4,806,4750000
13-Apr-2021,Mantalsgatan 15,"Tega,Kungälvskommun",110,4,986,3725000
13-Apr-2021,Klintegatan 7,"Kungälv-Centrum,Kungälvskommun",143+112,5,798,7750000
12-Apr-2021,Duvesjön 205,"Diseröd,Kungälvskommun",126,4,1062,4700000
8-Apr-2021,Nygatan 6,"Marstrand-Koön,Kungälvskommun",90,4,376,7500000
8-Apr-2021,Prästvägen 170,"Kareby,Kungälvskommun",95+140,7,2868,3770000
4-Apr-2021,Hammarberg 825,"Kode,Kungälvskommun",65+74,5,3030,4350000
2-Apr-2021,Duvesjön 420,"Bohuslän,Kungälvskommun",127+10,5,834,5400000
1-Apr-2021,Rönnvägen 11,"Diseröd,Kungälvskommun",120+88,6,849,3465000
1-Apr-2021,Toreby mosse 570,"Ytterby,Kungälvskommun",110+80,8,1375,2980000
1-Apr-2021,Häljeröd 106,"Diseröd,Kungälvskommun",120+90,8,1734,3700000
